乱前看不足	不足
细雨花骢踏作泥	泥
遥闻林下语	语
知是经行所	知是
日暮香风时	日暮
诸天散花雨	雨
黄尘投老得何郎	投老
准拟明年共我长	明年
熏沐不为杯酒污	不为
飞扬未许老夫量	量
斜风吹雨晚空蒙	晚
独立溪边两鬓蓬	独立
便过此生何所恨	此生
百年强半水云中	百年
天宇澄清桂影秋	秋
骚人乘兴欲登楼	骚人
楼前白水三千顷	千顷
滉滉鎔银烂不收	烂
诗本无形在窈冥	冥
网罗天地运吟情	天地
有时忽得惊人句	句
费尽心机做不成	做
多病多愁老使君	使君
不忧风雨不忧贫	风雨
三年不识东湖面	不识
枉与东湖作主人	主人
万里寄书将出峡	万里
却凭巫峡寄江州	寄
伤心最是江头月	月
莫把书将上庾楼	书
烟云出没微微白	烟云
知道前山雪出来	雪
应在山中望城郭	山中
烂银宫阙是蓬莱	蓬莱
明知有热不多时	热
可喜秋清又可悲	秋清
四十九年蘧伯玉	九年
西湖一阵桂风吹	西湖
处士前身自水仙	处士
天教清句纪山川	山川
即今秋菊寒泉意	意
双鹤飞来若个边	飞来
西城落日半轮明	明
浴罢衣裳一倍轻	罢
玉宇风来归鸟急	急
火云销尽绿云生	生
为底胡姬酒	酒
长来白鼻騧	白鼻
摘莲抛水上	抛
郎意在浮花	浮花
石边流水竹边松	流水
中有十年前好风	前
悠然自得忽自笑	忽
今日何日此山中	今日
西子湖头卖酒家	头
春风摇荡酒旗斜	春风
行人沽酒唱歌去	行人
踏碎满阶山杏花	山
爱国忧民感慨深	深
沅湘浩浩魄沈沈	浩浩
怀沙哀郢成何事	成何事
日月争光只此心	日月
未快溪桥踏雪心	心
朝阳已复上遥岑	朝阳
可怜昨夜琼瑶迹	昨夜
化作春泥尺许深	深
海邦渺渺知何在	渺渺
风入高帆顷刻过	风入
何似一樽湖上酒	酒
月明安稳照寒波	月明
村南村北鹁鸠声	声
刺水新秧漫漫平	平
行遍天涯千万里	天涯
却从邻父学春耕	学
良人昨日去	昨日
明月又不圆	明月
别时各有泪	别时
零落青楼前	前
人似春花自在开	春花
本无根蒂孰栽培	孰
一番零乱一番长	一番
不是前花去又回	前花
世间何处觅西湖	世间
风月无边酒一壶	酒
尽道此中如画景	画景
不知此景画中无	此景
行者南来今几春	南来
一回举似一回新	新
钵盂夺得知何用	钵盂
不怕梅花解笑人	人
重叠春风面	春风
高低雪满头	雪
渠无生老相	生
孤峻罕人游	人游
澜浑汤水熟淘沙	浑
不著油盐酱酣茶	茶
饥渴随时餐少许	随时
只思因甚悟桃花	桃花
犬吠鸡鸣者	鸡鸣
皆为席上珍	席上珍
如何弹铗客	客
亦有窃弓人	人
绿蜡红纱满路新	新
翠眉蝉鬓往来人	翠眉
榕阴门户香如雾	雾
十二天街无此春	春
零落斜枝雪未乾	零落
且垂薄暮护微寒	垂
大都荣悴人情别	人情
我为残英特倚栏	倚栏
三千宫女露蛾眉	露
笑煮黄金日月迟	笑
麟凤隔云攀不及	不及
空山惆怅夕阳时	夕阳
韶华向曙海天开	海天
红蕊青枝照水隈	隈
镇日书窗无客至	书窗
小帘风暖燕飞来	飞来
偶来清赏曲江头	头
人自无言水自流	水
欲作新诗图画取	新诗
乱峰寒木更孤舟	孤舟
那得空山月半轮	月
天将绝境验诗人	诗人
古今来往知多少	古今
底事流传略未闻	流传
谁在画楼西	西
相逢语笑低	相逢
到家春色晚	晚
花落鹧鸪啼	啼
茅屋沧洲一酒旗	茅屋
午烟孤起隔林炊	炊
江清日暖芦花转	转
只似春风柳絮时	春风
眼中不复见姚黄	复
从古扬州亚洛阳	洛阳
可止中郎虎贲似	郎
政堪花相相花王	花王
谁怜旧日青钱选	旧日
不立春风玉笋班	春风
传得黄州新句法	新
老夫端欲把降幡	端
棱棱桑田带水田	棱棱
夕阳幽兴满樊川	夕阳
祇疑身在江南处	江南
放我溪头罨画船	放
六曲溪头处士家	家
年年篱落万枝花	花
怪来驿使无消息	消息
却报烟村一树斜	斜
一池春水绿如苔	苔
水上新红取次开	水上
闲倚东风看鱼乐	东风
动摇花片却惊猜	惊
山云昨夜雨	雨
檐头滴滴举	举
寒山拾得知	拾
双双为伴侣	双双
只闻来客说春游	春游
不逐花前笑自留	笑
浪说春期计春尽	春尽
留春无术只春愁	春愁
恬然谁作去留心	留心
月下沧波风过林	林
相别相逢定何所	相逢
明明向道只如今	道
维摩居士陶居士	维摩
尽说高情未足夸	夸
檐外莲峰阶下菊	外
碧莲黄菊是吾家	家
波上荻花非雪花	非
风吹撩乱满袈裟	风吹
如今岁晏无芳草	岁
独对离樽作物华	樽
七佛已前曾卖弄	曾
分明一块烂枯柴	分明
老卢不解担当得	不解
火种只今无地埋	埋
大雄山下老狐精	山下
千古丛林恼杀人	千古
若遇金毛师子子	子
看伊无处著浑身	无处
闲时但觉求人易	易
险处方知为己深	深
世事尽随流水去	流水
白云自识古人心	心
今春喜气满乾坤	喜气
应有蒲轮辗白云	白云
恩与内分金带赤	分
草堂焉敢更移文	草堂
过了红芳又绿阴	绿阴
绿阴多处觉春深	绿阴
东皇自是成功早	早
取次南风入舜琴	南风
荷风细细晚生凉	晚
暑气絪緼入座香	香
饮尽碧筒人笑语	人
花边惊起睡鸳鸯	睡
江南相望路迢迢	路
风满关河雁影飘	飘
最好凤凰台上月	月
共谁携酒听吹箫	吹箫
陆机西没洛阳城	陆机
吴国春风草又青	春风
惆怅月中千岁鹤	鹤
夜来犹为唳华亭	夜来
百年老树倚柴门	倚
樵径苍苍野色新	新
醉向溪头卧明月	醉
叶声风细夜还闻	夜
梅边春兴浩无涯	无涯
长忆西湖处士家	家
我政念君君过我	念君
夜窗同共醉疏花	醉
深浅檐花千万枝	枝
碧纱窗外啭黄鹂	窗外
残妆含泪下帘坐	坐
尽日伤春春不知	春
一带青峦失旧青	青
荻花枫叶夕阳明	明
闲思天上多官府	天上
自是幽人道未成	道
函关秋霁雁初回	函关
六里商於晓色开	晓色
四皓有灵应笑我	四皓
谪官方始入山来	方始
尘缨久欲濯沧浪	久
今日来游大泽塘	今日
水似我心心似水	水
更无一事可商量	一事
秋高风急雁来初	风急
久客松江岂为鲈	鲈
好梦不成人睡觉	人
半窗残月夜灯孤	孤
千门今夜晓初晴	晓
万里天河彻帝京	万里
璨璨繁星驾秋色	秋色
棱棱霜气韵钟声	韵
池边梅映竹边池	池
皎月勾添光陆离	月
堪笑胡雏亦风味	风味
从教横笛月中吹	吹
清浅白沙滩	滩
绿蒲尚堪把	尚堪
家住水东西	水
浣纱明月下	明月
几年家住玉溪头	玉
乘兴时来上钓舟	乘兴
古寺幽情未曾到	未曾
寻春一为野僧留	留
垂老区区岂为身	身
微言一发重千钧	微言
始知不见高皇帝	高
正似商山四老人	老人
萱草轩窗处处幽	幽
酒中不著客中愁	不著
芭蕉叶上无多雨	芭蕉
分与池荷一半秋	秋
春有百花夏有热	百花
秋有凉风冬有雪	雪
若无閒事挂心头	挂
便是人间好时节	人间
八月长江去浪平	长江
片帆一道带风轻	一道
极目不分天水色	天
南山南是岳阳城	南山
初分上下顺阴阳	阴阳
草木浮生地久长	草木
日月星辰随大道	日月
天心便是法中王	便是
忆向宣华夜倚阑	夜
花光妍暖月光寒	寒
如今蹋飒嫌风露	嫌
且只铜瓶满插看	插
涌金门外柳垂金	柳
三日不来成绿阴	成
折取一枝入城去	一枝
使人知道已春深	春深
隔岸烟云一望间	烟云
夜深笙鹤与俱还	俱
不缘曾识谪仙面	面
未必烟云住此山	住
年去实不去	年
年来实不来	年
山僧都不会	山僧
露柱笑咍咍	笑
源水丛花无数开	丛花
丹跗红萼间青梅	间
从今结子三千岁	岁
预喜仙游复摘来	复
绿杨陌上送行人	陌上
马去车回一望尘	尘
不觉别时红泪尽	红
归来无泪可沾巾	归来
梁州一别几清明	清明
常忆西郊信马行	信
桃李成尘总闲事	总
梨花杨柳最关情	最
莫问神仙定有无	神仙
地灵断不着凡夫	断
我来便觉芒鞋好	芒鞋
飞上前山不用扶	飞
与君一别十年余	君
每见人来问起居	问
尽说丰神清似竹	竹
霜明须发影疏疏	影
短褐一枝筇	一枝
穿花云几重	云
日边花鸟使	使
定不到山中	山中
不隐山林隐市廛	山林
半生活计此书田	田
可邻世上无扬子	世上
谁识雄心在太玄	谁识
星榆叶叶昼离披	叶叶
云粉千里凝不飞	千里
崑玉楼台珠树密	玉
夜来谁向月中归	月中
朔风寒日澹孤芳	澹
冰雪相看有暗香	冰雪
但得横枝临却月	横枝
不须斗酒博西凉	不须
三峨直上片云飞	飞
飞过匡庐惹住衣	住
我亦朱轓暂容与	朱
山南山北判清辉	山南
墙外辘轳响	响
楼前江汉欹	欹
曙光和月色	月色
犹记早朝时	犹记
有问冬来事	问
京师出大黄	京师
贪他一粒粟	贪
失却半年粮	粮
九日年年负物华	年年
野香未肯到山家	未肯
今年九日风光别	风光
不独黄花更紫花	黄花
故园归未得	故园
此日意何伤	意
独坐水边草	草
水流春日长	春日
脱体无依是病由	病
直须大死一回休	休
西江吸尽无涓滴	西江
便解人前不识羞	不识
天上星辰金玉棋	天上
输赢何日是分时	何日
多应却笑张居士	笑
绮语妄言无了期	期
只说归期为底忙	忙
春风九奏奉花王	春风
芳菲莫管前驱尽	芳菲
末后殷勤最久长	最
急雨残红绝可怜	残红
花如鸡肋雨如拳	雨
千金傥赎花枝怨	怨
不为囊空惜一钱	不为
谁将造化手	手
开此混沌窍	混沌
每夜吐月时	月
九州同一照	九州
大海波涛阔	阔
千峰气象雄	千峰
古今无间断	古今
南北路头通	南北
失脚南来又两年	南来
故山猿鹤只凄然	猿鹤
潇湘不是无佳景	潇湘
终觉壶中别有天	壶中
时人莫讶再还乡	人
简册分明剑佩光	分明
驷马高车太常乐	乐
登庸门下忆贤良	忆
野旷乾坤大	乾坤
身閒日月迟	迟
有生均自得	自得
造物本无私	无私
贤劳王事一归休	归休
霜落园林失九秋	园林
想得君家乌鹊喜	喜
蛛丝萦绕玉搔头	玉
十日阴云雨未收	雨
山中新涨足溪流	山中
杖藜不到闲亭上	杖藜
恐有秋声在树头	秋声
小亭新筑藕花边	花边
为爱陂塘五月天	天
最好一番风雨过	风雨
琼珠无数落清泉	落
渺渺太湖水	太
湖中多鲤鱼	鲤鱼
故人时把钓	故人
应有北来书	书
冷日微烟渭水愁	愁
翠华宫树不胜秋	秋
霓裳一曲千门锁	一曲
白尽梨园弟子头	头
城头高榭陟嶙峋	城头
坐看江郊洒玉尘	坐
恨不同来对清绝	恨
拟将佳景待何人	何人
秋容如沐淡襟怀	淡
野老相逢笑口开	相逢
遥指夕阳红映处	夕阳
碧山楼阁似蓬莱	蓬莱
春山撩乱水纵横	水
篱落荒畦草自生	篱落
独往独来山下路	路
笋舆看得绿阴成	成
平湖万里宽	万里
秋月一天白	一天
隐隐岳阳楼	隐隐
有人自横笛	有人
踪迹浑如漾绿漪	漾
画桡曾不近渔矶	曾
有时梦落秋江去	有时
短笛横吹戴月归	横吹
酒对红炉暖	酒
香凝绣被温	绣被
老天有私意	老天
寒不到朱门	寒
瘦藤拄到风烟上	风烟
乞与游人眼豁开	眼
不知眼界阔多少	阔
白鸟飞尽青天回	青天
干戈场是太平基	太平
休把英雄较是非	休
试问长空风与月	月
周秦汉魏不曾知	周秦
我以沤为我	沤
沤为我即沤	沤
非沤亦非我	非
机事两忘不	两忘
南浦随花去	南浦
回舟路已迷	路
暗香无觅处	暗香
日落画桥西	西
屋角风微烟雾霏	屋角
柳丝无力杏花肥	杏花
朦胧数点斜阳裹	斜阳
应是呢喃燕子归	燕子
穆穆清光外	外
葱葱佳气中	佳气
云天看斗柄	斗柄
寰海受和风	受
千丈抠衣记武夷	记
家山今日屡攀跻	山
春风拍拍满怀处	春风
况是花开更鸟啼	花开
那堪雨后更闻蝉	雨后
溪隔重湖路七千	路
忆昔故园杨柳岩	杨柳
全家送上渡头船	船
无人低唱两三卮	无人
一任璚瑶满眼飞	飞
罗袜暗尘应洗尽	罗袜
月明吾俗看江妃	月明
漠漠轻云结晚阴	阴
依依斜日挂遥岑	挂
炊烟忽起桑榆上	炊烟
散作鲛绡抹半林	抹
从来人事顺天时	人事
九月才更即授衣	九月
可笑萦裘临岁晚	裘
履霜犹自未知几	犹自
翠幕重重护晓寒	重重
窗间金鸭篆烟残	残
芳情不采閒花草	花草
独倚阑干看牡丹	牡丹
萧萧慈竹鸟呼风	萧萧
宛似山光小阁东	东
剩欲杖藜寻昨梦	寻
更添红绽绿阴中	绿阴
紫阳遗像壁间开	壁间
谁写当年道义怀	当年
从此春风百千亿	春风
化身皆自笔端来	笔端
村北村南叫杜鹃	叫杜鹃
簑披春雨柳含烟	柳
不辞辛苦秋成熟	熟
会见黄云遍野田	遍
闲观造化余	余
静极悦自性	自性
胡蝶忽飞来	忽
吾心已无竞	心
嶂没千重雾	雾
江涵万里天	天
湘潭送波浪	送
吴楚会风烟	风烟
古人风帽古人心	心
独处胡床拥鼻吟	吟
曾道先生清似水	先生
东篱无惜种黄金	黄金
建业孙公子	公子
文如李谪仙	李
江头看明月	明月
醉枕酒瓶眠	醉
分手暮江寒	分手
徘徊立马看	徘徊
寻常相见易	易
倍觉别离难	难
赵州狗子无佛性	佛性
万叠青州藏古镜	藏
赤脚波斯入大唐	赤脚
八臂那吒行正令	那吒
春禽叶底引圆吭	叶底
临罢黄庭日正长	日
满院柳花寒食後	寒食
旋钻新火爇炉香	旋
湖头春水千丈碧	碧
湖堤嫋柳不盈尺	柳
唱歌女儿棹船回	船
惊起沙鸥对对立	惊起
亭亭青盖倚宫妆	倚
新浴温泉体自香	体
暂借清风来一霎	清风
欲披云锦见蜂房	披
瘦草萧疏已似秋	萧疏
盘陀山骨束江流	江流
两崖若不顽如铁	如铁
争得狂澜拍岸休	休
为怜清浅爱潺湲	爱
一日三回到水边	一日
若道归仁滩更好	滩
主人何故别三年	主人
白帝城高秋月明	白帝
黄牛滩急暮潮生	生
送君万水千山去	千山
独自听猿到五更	五更
不辞山路远	远
要见唐朝面	面
对面也不识	不识
谁知者方便	方便
东风花事到江城	花
早有人家唤卖饧	唤
他日相思忘不得	日
平山堂下五清明	清明
昨夜楚钟鸣	昨夜
飞霜下楚城	飞霜
定知迁客鬓	鬓
先向鉴中生	先
闻声不见形	形
撼树却惺惺	惺惺
体用何须论	体
归家落日明	明
且将一笑悦丰年	一笑
渐老那能日日眠	日日
引客特来山地上	山
坐看秋水落红莲	坐
袅袅霜风吹碧梧	吹
孤城残角奏单于	奏
山川浩荡愁千里	愁
楼阁黄昏月一梳	月
雪岭六年修苦行	修
今朝打失主人公	今朝
普天匝地无寻处	匝地
百亿分身是脱空	百亿
红衣落尽暗香残	残
叶上秋光白露寒	寒
越女含情已无限	无限
莫教长袖倚阑干	干
花落花开总可怜	总
峤南亦复好风烟	复
雨余起我故园梦	梦
漠漠浮鸥水拍天	漠漠
十年辛苦在京华	十年
梦里何时不见家	家
一到若耶溪畔月	月
始知杨柳隔天涯	杨柳
要知筋力衰多少	衰
一觉才回常了了	觉
邻钟无奈五更何	五更
望断窗纱不能晓	晓
闻说游湖棹	闻
寻常到此回	寻常
应留醒心处	醒
准拟醉时来	准拟
小阁临流暑气清	清
藕花的的照人明	明
移床更近栏边坐	坐
要听棋声杂雨声	雨声
禅窗虚敞瞰西南	西南
野色溪光接画檐	檐
云去碧天无间断	碧天
一眉依约见山尖	依约
景龙门上华灯动	动
黄鹄池边翠浪通	通
一一春光须作主	须
从今二十四番风	风
即虚明处发灵源	发
坐在沉沉湛湛边	沉沉
勇退截流机路活	勇退
揭翻光影未生前	生前
少日襟怀眇古今	古今
凶年乐岁不关心	关心
自怜老去多忧国	老去
白水田头问浅深	问
自古勋名勒鼎彝	鼎彝
老于文学即今谁	文学
腐儒尚可军马司	司
试作平淮第二碑	碑
悠悠世路自浮沉	悠悠
岂问仁贤待物心	问
最忆过时留宴处	过时
艳歌催酒后亭深	深
天理人伦古到今	天理
一门三世弟兄心	心
紫荆树树花如锦	树树
方信春风无浅深	春风
镜湖中有月	月
处士后无人	无人
荻笋抽高节	抽
鲈鱼跃老鳞	鳞
云公兰若深山里	深山
月明松殿微风起	月明
试问空门清净心	心
莲花不著秋潭水	秋
蜂齧红蕊烂	烂
虫啼碧丛短	啼
秋风略地起	秋风
惟有苍苔管	苍苔
因甚年来可作诗	年
奈何人老又春归	人
流莺不忍花离披	花
啼到黄昏犹自啼	啼
丈夫不感恩	感恩
感恩宁有泪	泪
心头感恩血	血
一滴染天地	天地
青山叫子规	青山
行人泪如雨	行人
子规不肯归	不肯
行人不能去	行人
年少当场秋思深	深
座中楚客最知音	最
八千子弟封侯去	封侯
唯有虞兮不负心	心
野树疏疏透夕阳	夕阳
归鸦零乱不成行	成行
春风可是閒来往	春风
时送江梅一阵香	香
忽见银河水倒倾	水
森森毛发不胜清	清
悟来只在空山顶	空
卧听松风夹雨声	卧
春风无声海日起	春风
梅花满树烟茫茫	梅花
西湖昨夜笙歌静	昨夜
相见逋仙是林中	仙
万壑树色敛	万壑
松门已暮钟	松门
故园肠断客	客
应与此时同	此时
学画蛾眉独出群	蛾眉
当时人道便承恩	人
年年不见君王面	年年
花落黄昏空掩门	空
野水竹间清	清
秋山酒中绿	绿
送子此酣歌	酣歌
淮南应落木	落木
艾叶翻翻白	翻翻
榴花叠叠红	红
年华惊客枕	枕
心事逐邮筒	逐
所至滔滔不问津	滔滔
故知此地往来频	频
从今更识林间寺	寺
再到不愁无主人	愁
曾持使节驻毗陵	驻
长与州人有旧情	人
为向驿桥风月道	道
舍人髭鬓白千茎	舍人
光武亲征血战回	光武
举朝谁识渭川才	谁识
熊罴果有周王卜	卜
未必先生恋钓台	先生
小筑分明是隐沦	分明
何妨随分乐青春	乐
诸君莫笑茅茨陋	茅茨
野意萧疏更觉真	萧疏
暑往寒来春复秋	寒来
夕阳西去水东流	西
将军战马今何在	将军
野草闲花满地愁	愁
一曲临风值万金	一曲
如何难买玉人心	玉
君如解得相如意	如意
比似金徽恨更深	恨
赤脚波斯入大唐	赤脚
一家有事百事忙	忙
而今四海清如镜	四海
率土普天归我王	王
眼明三伏见此画	眼明
便觉冰霜低岁寒	低
唤起生香来不断	不断
故应不作墨花看	不作
未到桃源来	桃源
长忆出家景	景
及到桃源了	桃源
还是鉴中影	鉴
出门谁与游	游
顾影恻我情	顾影
赖有木居士	木
作伴山中行	行
夕照斜阳柳外鸦	斜阳
杏园衰谢野人家	家
欲寻春色无寻处	寻
尽在桥边野草花	花
凉夜无云星自流	星
池塘促织早知秋	秋
远更不受重城隔	远
时逐西风到小楼	西风
登高何处见琼枝	登高
白露黄花自绕篱	黄花
惟有楼中好山色	山色
稻畦残水入秋池	秋池
一树梅花掩旧居	梅花
主人仙去客来疏	主人
白头留得吟诗友	留
每见郎君勉读书	读书
十方同聚会	十方
个个学无为	学
此是选佛场	选佛场
心空及第归	心
夜来风雨晓还晴	风雨
沙路无泥快早行	沙路
鸟语花容春自好	春
有生何处不安生	有生
策蹇寻幽过草堂	草堂
困来欹枕卧禅床	卧
鸟啼花落春风里	春风
睡起不知春昼长	春
平生痼疾在烟霞	平生
到处林泉是我家	林泉
若也远公容入社	容
直须酤酒不须茶	酒
莫恨红裙破	破
休嫌白屋低	低
请看京与洛	请
谁在旧香闺	旧
曾跨金牛入帝乡	曾
归装金薤富琳琅	金
唤回客枕邯郸梦	梦
间草岩花亦自香	间
何时得见十三弦	弦
待取无云有月天	月
愿得金波明似镜	明
镜中照出月中仙	仙
多病相如故倦游	多病
四年纡绂到三州	纡
君恩乞与归岩壑	乞
何啻将军得罢休	将军
弦清拨剌语铮铮	清
背却残灯就月明	月明
赖是心无惆怅事	惆怅
不然争奈子弦声	子
雪后云收万里天	天
春从何处著山川	春
红边绿外无穷思	思
莫道今年似去年	今年
功名良苦赋归欤	功名
两鬓霜花百念枯	枯
钟鼎楼台浑一梦	浑
数间茅屋亦浮屠	茅屋
晚来一雨破炎蒸	破
蕉叶葵花照眼明	明
稍与灯花寻旧约	寻
却嫌庭树作秋声	嫌
春风客路草萋萋	春风
小驻征鞍日又西	日
回首前山云树暗	云
竹鸡声裹鹧鸪啼	啼
万家云树水边州	州
千里秋风一锡游	秋风
晚渡无人过疏雨	无人
乱峰寒翠入西楼	乱峰
杖藜里饭去匆匆	饭
过眼青钱转手空	空
赢得儿童语音好	儿童
一年强半在城中	一年
春酿正风流	风流
梨花莫问愁	愁
马卿思一醉	思
不惜鹔鹴裘	裘
江上凝冰约水痕	江上
门前残雪缀溪云	门前
杖藜独立梅梢月	月
成就清寒到十分	十分
借屋移来逐半年	逐
眼看花发便欣然	眼看
主人官满吾当去	主人
却忆看花又可怜	看花
见说谪仙曾到此	曾
东风千树锁雕墙	东风
游人偏向花间酹	游人
雨湿春泥喷酒香	春泥
跫然诗句慰空虚	慰
拭目科名看到渠	渠
了却科名诗未晚	诗
殷勤圯上一编书	书
斜阳已在古松閒	斜阳
杯酒相留未放还	杯酒
此是古人真率处	古人
谁知今日有梅山	今日
溪女不画眉	画眉
爱听画眉鸟	爱
夹岸一声啼	一声
晓山青未了	晓山
新林二月孤舟还	二月
水满清江花满山	花
借问故园隐君子	隐
时时来往住人间	人间
故人坟树立秋风	秋风
伯道无儿迹便空	空
重到笙歌分散地	重
隔江吹笛月明中	吹笛
欲言心佛鸡分别	鸡
俱是精微无碍通	俱
跳出千重缚不住	千重
天涯海角任西风	西风
灵根豁达绝纤尘	灵根
只贵回光见得亲	亲
日斜半窗梅弄影	梅
客程犹有未归人	人
渊明颇爱重九名	爱
我亦爱饱重九酒	酒
已办黄菊与红萸	黄菊
唤起陶公为四友	唤起
千里莺啼绿映红	红
水村山郭酒旗风	风
南朝四百八十寺	寺
多少楼台烟雨中	烟雨
阴阴垂柳乱蝉嘶	乱
柳外娇莺自在啼	啼
心事太平山色好	太平
开轩坐到日沈西	日
道用元未是	道
再至却须成	成
但看西行日	日
归来一饷荣	归来
可惜春时节	节
依然独自游	游
无端两行泪	无端
长只对花流	花流
村店事事无	村店
秋热夜夜至	夜夜
一双好竹床	一双
无人将去睡	无人
青天万里放醉眼	万里
啼鸟一声伤客心	一声
携手寻春春尽日	日
此时真直万黄金	黄金
久雨令人不出门	不出门
新晴唤我到西园	唤
要知春事深和浅	深
试看青梅大几分	试看
谁移琪树下仙乡	移
二月轻冰八月霜	霜
若使寿阳公主在	使
自当羞见落梅妆	妆
先生结屋绿岩边	绿
读易悬知屡绝编	读易
不用采芝惊世俗	不用
恐人谤道是神僊	道
清言一以遥	遥
默默江楼上	楼上
安得如白云	白云
无心两相忘	无心
闲吟鲍照赋	赋
更起屈平愁	愁
莫引西风动	西风
红衣不耐秋	红衣
琱刻春何力	春
欣荣物自知	自知
发生虽有象	象
覆载本无私	无私
远迓瞿昙至给孤	远
竚聆有法为开敷	聆
早知是法应须舍	应须
好请乘时出帝都	乘时
幽人抱膝掩柴门	掩
八九渔家烟水村	村
坐对青山两无语	坐
春风春雨送黄昏	春风
汉家猗殿敞云屏	殿
青雀西来底有情	西
席上残桃犹可种	种
刘郎争奈不长生	长生
我行自喜有胜事	自喜
夹道黄云禾黍秋	秋
闻道今年罢和籴	罢
老农卒岁傥宽忧	宽
山花野草一荒丘	山花
云里骄奢旧迹留	留
珠翠管弦人不见	人
上头麋鹿至今游	游
谁将石黛染春潮	染
复捻黄金作柳条	复
西崦东沟从此好	西
笋舆追我莫辞遥	舆
孺子祠堂插酒旗	插
游人那解荐江蓠	游人
白鸥欲下还惊起	惊起
曾见陈蕃解榻时	曾见
阳春二月时	二月
桃李花参差	花
寄言诸姊妹	诸
莫遣恶风吹	风吹
十里平湖浸晓光	十里
玉鸾飞舞镜中央	镜
也知青女催梳掠	催
淡拂铅华试靓妆	铅华
马踏渭滨春草乱	乱
鸟啼白帝夕阳深	深
汉家浑是皇天做	汉家
渠是通天一寸心	心
达磨不会禅	禅
夫子不识字	不识
第一莫将来	第一
将来不相似	相似
山腰一抹云	云
云起知何处	云起
争渡小桥寻	寻
天风又吹去	吹
篸山奇绝送归时	山
曾榜新亭号所思	曾
桂林祗今湘水外	外
他年空有四愁诗	年
采菱人散夕阳收	夕阳
冷落西溪风露头	头
飞入白鸥花一色	花
暗香来处月如钩	月
近看分明远欲无	分明
水天空阔好江湖	江湖
幸然不入虞人眼	虞
又被间中画作图	间
去日撒手去	日
来时无与偕	偕
若将来去看	来去
还似不曾斋	斋
春晚百花齐	百花
绵绵巧如织	巧
细雨洗还明	洗
轻风卷无迹	卷
误入葛洪家	葛
说尽天涯话	天涯
尔我无自性	尔
常光遍天下	天下
今朝七月一	今朝
明朝七月二	七月
一日又一日	一日
几个知惭愧	惭愧
青山万叠倚晴空	青山
中有招提一径通	通
衲子不关尘世事	尘
黄花红叶共秋风	秋风
荡漾水中舟	舟
徘徊岸边马	马
相看两不语	不语
密意待谁写	写
客屦自来去	客
山翁病不知	病
座无掬道士	道士
门有艾天师	艾
梦断南柯觉昨非	觉
因缘尽处两分飞	飞
寒松空锁翠娥梦	梦
我独于今未得归	未得
家在钱塘身在苏	家
扊扅消息近来疏	疏
极知薪水无钱买	买
且遣长须送乘壶	送
病起乌藤强自扶	扶
三三径里晓晴初	三三
莺声只在花梢近	莺声
行去行来不见渠	渠
客裹春残又一年	一年
落花满地草连天	草
缘何不动归与兴	动
祗为龙江无杜鹃	祗
不惯香风拥妓车	车
分当清坐冷官衙	分
归来自笑杀风景	归来
却把茶瓯对菊花	菊花
不见故人天际舟	故人
小亭残日更回头	回头
缲成白雪三千丈	成
细草孤云一片愁	愁
清坐无憀独客来	客来
一瓶春水自煎茶	茶
寒梅几树迎春早	早
细雨微风看落花	细雨
江海归来见似人	归来
离披犹自少风尘	少
何如淡月山庄夜	夜
百幅清溪乱写真	乱
我昔游青城	游
六月对雪山	山
吴蜀渺万里	万里
安得在此间	安
剔尽寒灯梦不成	梦
拥衾危坐到三更	三更
不知何处吹羌笛	吹
落尽梅花月满城	月
幽人惜春暮	幽人
潭上折芳草	折
佳期何时还	佳期
欲寄千里道	道
柳条百尺拂银塘	拂
且莫深青只浅黄	且莫
未必柳条能蘸水	水
水中柳影引他长	引
试问今宵涧底声	声
何如三叹有余音	何如
堂中衲子还知否	堂
月白风清底处寻	寻
风露青冥水面凉	凉
旋移野艇受清香	清香
犹嫌翠盖红妆句	句
何况人言似六郎	人
归梦如春水	春水
悠悠绕故乡	绕
驻马渡江处	渡江
望乡待归舟	归舟
连鳌妙手舣前湾	鳌
蓑笠琴书得自安	蓑笠
更待一轮清月上	清
静看千顷玉光寒	玉
铿锵金石三千首	金石
吐纳云烟四十年	十年
自有山神回俗驾	自有
不愁大尹触吟鞭	愁
两岐秀罢已蒿莱	罢
春意还从菡萏回	春意
不是使君和气胜	胜
此花应向别人开	此花
断桥疏竹带山幽	断桥
装点诗人觅句愁	愁
多谢双鱼传尺素	尺素
绝胜斗酒得凉州	斗酒
举觞自起劝西风	西风
吹尽千林木叶红	红
遮断前山浑不见	浑
恐妨极目送飞鸿	送
水云深处见人烟	深处
桑柘鸣鸠似可怜	鸣
却怪银泥环四壁	四壁
由来春雨上蜗涎	由来
别酒三杯醉不知	醉
梅花岭外故人稀	梅花
片心暗逐白云去	白云
日日向君行处飞	飞
月子弯弯照铁衣	铁衣
辕门吹角早霜飞	早
可怜隔岁家书到	家书
只问存亡不问归	问
建业城西江水回	江水
千官遥望翠华来	千官
天子双鞬悬锦带	双
近臣争上万年杯	杯
江路轻阴未成雨	雨
梅花欲过半沾泥	梅花
远来不负东皇意	不负
一绝清诗手自题	一绝
闻说到扬州	闻
吹箫忆旧游	吹箫
人来多不见	人来
莫是上迷楼	莫是
云散青天挂玉钩	挂
石城艇子近新秋	新秋
风鬟雾鬓归来晚	归来
忘却荷花记得愁	愁
